model,scope,n,r2,rmse,bias,spearman
M2_raw(v1),B8_all,1704,-2.9455728504180896,1.3851056127565076,1.1488010155976527,-0.052498945662051204
"M5_multE(E=1.748,κ=1.770)",B8_all,1704,0.9470487304332222,0.16045972534672,0.027728819314575586,0.9687453619345646
M2_raw(v1),B8:calibrated,984,-2.8094753412674036,1.3857521875031311,1.138852474947055,-0.05554291447765626
M5_multE,B8:calibrated,984,0.9468354506019384,0.16370579684882058,0.01852354729241251,0.9714225769952586
M2+dt_offset,B8:calibrated,984,-0.2365996186623358,0.7895280128095147,-0.005506136055349486,-0.05554291447765626
M2+dt_affine,B8:calibrated,984,0.0007662524702038986,0.7097191701541038,1.2997732971221344e-16,0.05554291447765626
M2_raw(v1),B8:extrapolated,720,-3.7266178106862373,1.3842214721737027,1.1623973544868034,-0.34680461715161154
M5_multE,B8:extrapolated,720,0.9400332512772944,0.15591417091296125,0.04030935774486513,0.9569756128829501
M2+dt_offset,B8:extrapolated,720,-0.42995677265648546,0.7613630441065276,-0.12154098330334978,-0.34680461715161154
M2+dt_affine,B8:extrapolated,720,0.09808749661326344,0.6046618131992101,-3.848773152033876e-16,0.34680461715161154
M2+dt_offset,B8_all,1704,-0.24401695310924865,0.7777517648748619,-0.05453494475168764,0.005021616728710266
M2+dt_affine,B8_all,1704,0.08409385674399472,0.6673495037401096,-9.59065899206708e-17,0.28432472366629713
